FIRST ORDER ACCURATE FIRST DERIVATIVE
N = 50
x,exact,numerical,error
0,1,0.990166,0.00983391
0.00986636,0.980365,0.990166,0.00980146
0.0394265,0.922701,0.951387,0.0286862
0.0885637,0.830706,0.876303,0.0455967
0.157084,0.710412,0.769787,0.0593757
0.244717,0.56991,0.638926,0.0690163
0.351118,0.41885,0.492631,0.0737803
0.475865,0.26767,0.341001,0.0733309
0.618467,0.126601,0.194441,0.0678402
0.77836,0.00456994,0.0626001,0.0580302
0.954915,-0.0918188,-0.0467031,0.0451157
1.14743,-0.159006,-0.12836,0.0306458
1.35516,-0.196749,-0.18048,0.0162687
1.57726,-0.207871,-0.204399,0.00347156
1.81288,-0.197544,-0.204188,0.00664344
2.06107,-0.172269,-0.185765,0.0134953
2.32087,-0.138773,-0.15582,0.0170467
2.59123,-0.10305,-0.12077,0.0177193
2.8711,-0.0697105,-0.0859443,0.0162338
3.15938,-0.0416905,-0.0551155,0.013425
3.45492,-0.0203153,-0.0303912,0.0100759
3.75655,-0.00560445,-0.0124079,0.00680347
4.06309,0.0032996,-0.000708585,0.00400818
4.37333,0.00769754,0.00581901,0.00187853
4.68605,0.00897695,0.0085427,0.000434249
5,0.00837248,0.00878696,0.000414478
5.31395,0.00684407,0.00765362,0.000809548
5.62667,0.00504973,0.00595004,0.000900311
5.93691,0.00337955,0.00419536,0.000815816
6.24345,0.0020188,0.00267136,0.000652559
6.54508,0.00101605,0.00148953,0.000473483
6.84062,0.000341792,0.000655221,0.000313428
7.1289,-6.83317e-05,0.000118665,0.000186997
7.40877,-0.000285913,-0.000189742,9.6171e-05
7.67913,-0.000374891,-0.000338526,3.63657e-05
7.93893,-0.000385557,-0.000385007,5.50096e-07
8.18712,-0.000353897,-0.000372231,1.83343e-05
8.42274,-0.000303595,-0.000329817,2.62215e-05
8.64484,-0.000248944,-0.000276516,2.75725e-05
8.85257,-0.000197674,-0.000223136,2.54621e-05
9.04508,-0.000153291,-0.000175139,2.18479e-05
9.22164,-0.000116791,-0.000134666,1.78749e-05
9.38153,-8.783e-05,-0.000101973,1.41429e-05
9.52414,-6.54587e-05,-7.63713e-05,1.09126e-05
9.64888,-4.85512e-05,-5.68007e-05,8.24947e-06
9.75528,-3.6031e-05,-4.21486e-05,6.11757e-06
9.84292,-2.69748e-05,-3.14108e-05,4.43605e-06
9.91144,-2.06465e-05,-2.3757e-05,3.11044e-06
9.96057,-1.64977e-05,-1.85456e-05,2.0479e-06
9.99013,-1.41531e-05,-1.53161e-05,1.16298e-06
10,-1.33953e-05,-1.37732e-05,3.77888e-07

FIRST ORDER ACCURATE FIRST DERIVATIVE
N = 100
x,exact,numerical,error
0,1,0.997535,0.00246517
0.0024672,0.995072,0.997535,0.00246314
0.00986636,0.980365,0.987709,0.00734441
0.0221902,0.956112,0.968213,0.012101
0.0394265,0.922701,0.939357,0.016656
0.0615583,0.88067,0.901604,0.0209339
0.0885637,0.830706,0.855567,0.0248613
0.120416,0.773634,0.802003,0.0283686
0.157084,0.710412,0.741803,0.0313911
0.198532,0.642113,0.675984,0.0338713
0.244717,0.56991,0.605671,0.0357607
0.295596,0.495055,0.532078,0.0370222
0.351118,0.41885,0.456482,0.0376319
0.411227,0.342618,0.380199,0.0375813
0.475865,0.26767,0.304549,0.0368787
0.544967,0.19527,0.23082,0.0355497
0.618467,0.126601,0.160239,0.0336376
0.69629,0.0627283,0.0939311,0.0312028
0.77836,0.00456994,0.0328905,0.0283206
0.864597,-0.0471293,-0.02205,0.0250792
0.954915,-0.0918188,-0.0702422,0.0215766
1.04922,-0.129155,-0.111239,0.0179164
1.14743,-0.159006,-0.144802,0.0142041
1.24944,-0.181447,-0.170904,0.0105426
1.35516,-0.196749,-0.189721,0.00702815
1.46447,-0.205358,-0.201612,0.00374655
1.57726,-0.207871,-0.207101,0.000770117
1.69344,-0.205001,-0.206845,0.00184469
1.81288,-0.197544,-0.201603,0.00405872
1.93546,-0.186348,-0.192199,0.00585061
2.06107,-0.172269,-0.179486,0.00721628
2.18958,-0.156148,-0.164315,0.00816766
2.32087,-0.138773,-0.147504,0.00873063
2.45479,-0.120864,-0.129807,0.00894243
2.59123,-0.10305,-0.111899,0.00884877
2.73005,-0.0858591,-0.0943598,0.00850077
2.8711,-0.0697105,-0.0776625,0.007952
3.01426,-0.0549176,-0.0621733,0.00725572
3.15938,-0.0416905,-0.048153,0.00646253
3.30631,-0.0301452,-0.0357637,0.0056185
3.45492,-0.0203153,-0.0250791,0.00476373
3.60504,-0.0121652,-0.0160968,0.00393156
3.75655,-0.00560445,-0.00875262,0.00314816
3.90928,-0.000502178,-0.00293484,0.00243266
4.06309,0.0032996,0.00150209,0.00179751
4.21783,0.00597373,0.00472446,0.00124926
4.37333,0.00769754,0.00690813,0.000789409
4.52946,0.00864434,0.00822898,0.000415364
4.68605,0.00897695,0.00885549,0.000121461
4.84295,0.00884306,0.00894317,0.000100104
5,0.00837248,0.00863091,0.000258425
5.15705,0.00767575,0.0080389,0.000363148
5.31395,0.00684407,0.00726796,0.000423887
5.47054,0.00595015,0.00639991,0.000449765
5.62667,0.00504973,0.00549883,0.0004491
5.78217,0.00418356,0.00461277,0.000429213
5.93691,0.00337955,0.00377587,0.000396326
6.09072,0.00265501,0.00301057,0.000355556
6.24345,0.0020188,0.00232976,0.000310961
6.39496,0.00147328,0.00173891,0.000265634
6.54508,0.00101605,0.00123787,0.000221819
6.69369,0.00064146,0.000822503,0.000181042
6.84062,0.000341792,0.000486035,0.000144243
6.98574,0.000108246,0.000220143,0.000111897
7.1289,-6.83317e-05,1.57979e-05,8.41296e-05
7.26995,-0.00019691,-0.000136095,6.08155e-05
7.40877,-0.000285913,-0.000244255,4.16582e-05
7.54521,-0.000342988,-0.000316731,2.62577e-05
7.67913,-0.000374891,-0.00036073,1.41617e-05
7.81042,-0.000387445,-0.000382541,4.90378e-06
7.93893,-0.000385557,-0.000387527,1.96936e-06
8.06454,-0.000373282,-0.000380162,6.87983e-06
8.18712,-0.000353897,-0.000364105,1.0208e-05
8.30656,-0.000329998,-0.000342285,1.22872e-05
8.42274,-0.000303595,-0.000316998,1.34029e-05
8.53553,-0.000276206,-0.000290001,1.37942e-05
8.64484,-0.000248944,-0.000262601,1.36575e-05
8.75056,-0.000222591,-0.000235742,1.31509e-05
8.85257,-0.000197674,-0.000210073,1.23991e-05
8.95078,-0.000174517,-0.000186015,1.14985e-05
9.04508,-0.000153291,-0.000163813,1.0522e-05
9.1354,-0.000134056,-0.000143579,9.52305e-06
9.22164,-0.000116791,-0.000125331,8.53972e-06
9.30371,-0.00010142,-0.000109017,7.59787e-06
9.38153,-8.783e-05,-9.45439e-05,6.71392e-06
9.45503,-7.58903e-05,-8.17875e-05,5.89722e-06
9.52414,-6.54587e-05,-7.06106e-05,5.15183e-06
9.58877,-5.63921e-05,-6.08701e-05,4.47802e-06
9.64888,-4.85512e-05,-5.24247e-05,3.87346e-06
9.7044,-4.18047e-05,-4.51387e-05,3.33405e-06
9.75528,-3.6031e-05,-3.88857e-05,2.85463e-06
9.80147,-3.11204e-05,-3.35498e-05,2.42944e-06
9.84292,-2.69748e-05,-2.90273e-05,2.05249e-06
9.87958,-2.35082e-05,-2.52259e-05,1.71776e-06
9.91144,-2.06465e-05,-2.20659e-05,1.41937e-06
9.93844,-1.8327e-05,-1.94787e-05,1.15169e-06
9.96057,-1.64977e-05,-1.7407e-05,9.09329e-07
9.97781,-1.5117e-05,-1.58042e-05,6.87169e-07
9.99013,-1.41531e-05,-1.46334e-05,4.80337e-07
9.99753,-1.35836e-05,-1.38678e-05,2.84159e-07
10,-1.33953e-05,-1.34894e-05,9.41124e-08

SECOND ORDER ACCURATE FIRST DERIVATIVE
N = 50
x,exact,numerical,error
0,1,0.99987,0.000129639
0.00986636,0.980365,0.980462,9.71918e-05
0.0394265,0.922701,0.923184,0.000483174
0.0885637,0.830706,0.831819,0.00111278
0.157084,0.710412,0.712365,0.00195369
0.244717,0.56991,0.572853,0.00294323
0.351118,0.41885,0.422833,0.00398317
0.475865,0.26767,0.272615,0.00494505
0.618467,0.126601,0.132289,0.00568783
0.77836,0.00456994,0.0106548,0.00608489
0.954915,-0.0918188,-0.0857656,0.00605322
1.14743,-0.159006,-0.15343,0.00557579
1.35516,-0.196749,-0.192039,0.00470931
1.57726,-0.207871,-0.204297,0.00357415
1.81288,-0.197544,-0.195216,0.00232868
2.06107,-0.172269,-0.171134,0.00113541
2.32087,-0.138773,-0.138644,0.000128718
2.59123,-0.10305,-0.103658,0.000607478
2.8711,-0.0697105,-0.0707579,0.00104737
3.15938,-0.0416905,-0.0429072,0.00121667
3.45492,-0.0203153,-0.0214914,0.00117604
3.75655,-0.00560445,-0.00660546,0.001001
4.06309,0.0032996,0.00253565,0.000763949
4.37333,0.00769754,0.00717545,0.000522089
4.68605,0.00897695,0.00866459,0.00031236
5,0.00837248,0.00822029,0.000152193
5.31395,0.00684407,0.00680015,4.3925e-05
5.62667,0.00504973,0.00506922,1.94888e-05
5.93691,0.00337955,0.00342879,4.92458e-05
6.24345,0.0020188,0.00207568,5.68784e-05
6.54508,0.00101605,0.00106812,5.20669e-05
6.84062,0.000341792,0.000383605,4.18123e-05
7.1289,-6.83317e-05,-3.78189e-05,3.05128e-05
7.40877,-0.000285913,-0.000265419,2.04938e-05
7.67913,-0.000374891,-0.00036223,1.26614e-05
7.93893,-0.000385557,-0.000378473,7.08399e-06
8.18712,-0.000353897,-0.000350473,3.42428e-06
