FIRST ORDER ACCURATE SECOND DERIVATIVE
N = 50
x,exact,numerical,error
0,-2,-1.96714,0.0328565
0.00986636,-1.98027,-1.96714,0.0131245
0.0394265,-1.92119,-1.90818,0.0130046
0.0885637,-1.82332,-1.8106,0.0127183
0.157084,-1.68822,-1.67605,0.0121648
0.244717,-1.5192,-1.50795,0.0112531
0.351118,-1.32191,-1.31197,0.0099363
0.475865,-1.10463,-1.09639,0.00823692
0.618467,-0.877946,-0.871691,0.00625469
0.77836,-0.653902,-0.649747,0.00415446
0.954915,-0.444633,-0.442497,0.00213589
1.14743,-0.260835,-0.260442,0.000392785
1.35516,-0.11037,-0.111296,0.000926658
1.57726,0.00267183,0.000923852,0.00174798
1.81288,0.0782387,0.076159,0.00207969
2.06107,0.1199,0.117897,0.00200255
2.32087,0.133868,0.132225,0.00164367
2.59123,0.127727,0.126583,0.0011442
2.8711,0.109154,0.108524,0.000629859
3.15938,0.0848909,0.0846998,0.000191152
3.45492,0.060104,0.0602279,0.00012387
3.75655,0.0381676,0.0384734,0.000305744
4.06309,0.020794,0.0211666,0.000372615
4.37333,0.0083875,0.00874442,0.000356925
4.68605,0.000485844,0.000779556,0.000293712
5,-0.0038226,-0.00360991,0.000212692
5.31395,-0.00557153,-0.00543696,0.000134569
5.62667,-0.00570416,-0.00563341,7.07515e-05
5.93691,-0.00496694,-0.00494178,2.51551e-05
6.24345,-0.00388321,-0.00388644,3.22772e-06
6.54508,-0.00277631,-0.00279421,1.78973e-05
6.84062,-0.00181508,-0.00183811,2.30352e-05
7.1289,-0.00106325,-0.00108566,2.24152e-05
7.40877,-0.000521876,-0.000540799,1.89224e-05
7.67913,-0.000160868,-0.00017535,1.44819e-05
7.93893,6.05078e-05,5.03009e-05,1.02069e-05
8.18712,0.000181958,0.000175335,6.62225e-06
8.42274,0.000236774,0.000232895,3.87968e-06
8.64484,0.000250304,0.000248376,1.92735e-06
8.85257,0.000240466,0.000239841,6.24953e-07
9.04508,0.000219135,0.000219323,1.87635e-07
9.22164,0.000193687,0.000194342,6.5541e-07
9.38153,0.000168374,0.000169269,8.94793e-07
9.52414,0.000145413,0.000146405,9.92114e-07
9.64888,0.000125769,0.000126777,1.00764e-06
9.75528,0.000109698,0.00011068,9.81394e-07
9.84292,9.70911e-05,9.80298e-05,9.38741e-07
9.91144,8.76903e-05,8.85853e-05,8.95084e-07
9.96057,8.12151e-05,8.20745e-05,8.59333e-07
9.99013,7.74314e-05,8.20745e-05,4.64304e-06
10,7.61876e-05,7.82678e-05,2.0802e-06

FIRST ORDER ACCURATE SECOND DERIVATIVE
N = 100
x,exact,numerical,error
0,-2,-1.99178,0.00822229
0.0024672,-1.99507,-1.99178,0.0032879
0.00986636,-1.98027,-1.97699,0.00328235
0.0221902,-1.95563,-1.95236,0.00327156
0.0394265,-1.92119,-1.91793,0.00325336
0.0615583,-1.87703,-1.87381,0.00322496
0.0885637,-1.82332,-1.82013,0.00318315
0.120416,-1.76026,-1.75714,0.0031246
0.157084,-1.68822,-1.68517,0.00304614
0.198532,-1.60766,-1.60471,0.00294502
0.244717,-1.5192,-1.51638,0.00281922
0.295596,-1.42363,-1.42096,0.00266765
0.351118,-1.32191,-1.31942,0.00249037
0.411227,-1.21515,-1.21286,0.00228866
0.475865,-1.10463,-1.10256,0.00206506
0.544967,-0.991729,-0.989906,0.00182332
0.618467,-0.877946,-0.876377,0.00156827
0.69629,-0.76482,-0.763514,0.00130557
0.77836,-0.653902,-0.65286,0.00104145
0.864597,-0.5467,-0.545918,0.000782417
